date,status,current_price,return,ma_10,volatility_10,action,shares_before,order_delta,equity,note
2026-08-10,no_trade,773.030029296875,-0.00029741673673222557,757.2680053710938,0.010223253596387967,1,192.0,0,100011.5,
2026-08-11,no_trade,770.5599975585938,-0.0031952597501651026,760.2380065917969,0.010503005750175478,1,192.0,0,99569.89,
2026-08-12,no_trade,772.489990234375,0.0025046624297864195,764.5410034179688,0.008080170183109518,1,192.0,0,99890.53,
2026-08-13,no_trade,777.8800048828125,0.006977455651952402,768.1600036621094,0.007139169080525857,1,192.0,0,100925.41,
2026-08-14,no_trade,776.3400268554688,-0.0019797115463531245,771.0910034179688,0.007382080160527397,1,192.0,0,100551.01,
2026-08-17,no_trade,772.6699829101562,-0.004727366641364417,772.5910034179688,0.006840836997964792,1,192.0,0,99890.53,
2026-08-18,no_trade,767.4500122070312,-0.006755757074274671,772.2030029296875,0.004455310145873152,1,192.0,0,98872.93,
2026-08-19,no_trade,769.0599975585938,0.00209783741736147,772.1300048828125,0.004490009465294511,1,192.0,0,99233.89,
2026-08-20,no_trade,762.5999755859375,-0.008399893367440514,771.5340026855469,0.005203126966460758,1,192.0,0,98095.33,
2026-08-21,no_trade,765.719970703125,0.0040912604472485015,770.7799987792969,0.0049383202287709566,1,192.0,0,98727.01,
2026-08-24,no_trade,763.469970703125,-0.0029384110198065194,769.8239929199219,0.004968972619229571,1,192.0,0,98258.53,
2026-08-25,no_trade,765.9099731445312,0.003195937672779925,769.3589904785156,0.005097824464609498,1,192.0,0,98654.05,
2026-08-27,no_trade,766.0800170898438,0.0002220155779071309,768.7179931640625,0.004993731614136143,1,192.0,0,99122.53,
2026-08-28,no_trade,771.0999755859375,0.006552786111251541,768.039990234375,0.004921318840703321,1,192.0,0,99535.33,
2026-08-29,no_trade,769.3499755859375,-0.002269485222937795,767.3409851074218,0.004929463755871506,1,192.0,0,99276.13,
2026-09-01,no_trade,767.0499877929688,-0.002989520850009919,766.7789855957031,0.004808417522517061,1,192.0,0,98972.77,
